#% chance to gain an endurance charge when you stun an enemy
#% increased area of effect
#% increased attack speed
#% increased physical damage
#% increased physical damage
#% chance to fortify on melee hit
#% chance to gain onslaught for # seconds on kill
adds # physical damage
adds # physical damage
adds # physical damage
#% increased cast speed
#% chance to gain a power charge on critical strike
#% increased critical strike chance
adds # cold damage
adds # fire damage
adds # cold damage
adds # lightning damage
adds # fire damage
adds # lightning damage
adds # lightning damage
adds # cold damage
adds # fire damage
#% reduced enemy stun threshold
#% reduced enemy stun threshold
#% increased elemental damage
#% increased elemental damage
#% increased elemental damage
damage penetrates #% elemental resistances
